1,СМЕТКИ ЗА КАПИТАЛ И ЗАЕМИ,,,,,
10,Капитал,,,,,
101,Основен капитал,Пасивна,,Съдружници&nbsp;(100),,
102,Допълнителен (запасен) капитал,Пасивна,,Съдружници&nbsp;(100),,
107,Сметка на собственика,Пасивна,,Съдружници&nbsp;(100),,
11,Резерви,,,,,
111,Общи резерви,Пасивна,,,,
112,Преоценъчни резерви,Пасивна,,,,
12,Финансови Резултати,,,,,
121,Непокрита загуба от минали години,Активна,,Година&nbsp;(4),,
122,Неразпределена печалба от минали години,Пасивна,,Година&nbsp;(4),,
123,Печалби и загуби от текущата година,Смесена,,,,
15,Получени заеми,,,,,
151,Получени КРАТКОСРОЧНИ заеми,Пасивна,,,,
1511,Получени краткосрочни заеми - банкови кредити,Пасивна,,Договори за кредит&nbsp;(151),Валути&nbsp;(1),
1512,Получени краткосрочни заеми - финансов лизинг,Пасивна,,Договори за лизинг&nbsp;(152),Валути&nbsp;(1),
1513,Получени краткосрочни заеми - овърдрафт,Пасивна,,Договори за кредит&nbsp;(151),Валути&nbsp;(1),
1514,Получени краткосрочни заеми - от свързани лица,Пасивна,,Договори за кредит&nbsp;(151),Валути&nbsp;(1),
152,Получени ДЪЛГОСРОЧНИ заеми,Пасивна,,,,
1521,Получени дългосрочни заеми - банкови кредити,Пасивна,,Договори за кредит&nbsp;(151),Валути&nbsp;(1),
1522,Получени дългосрочни заеми - финансов лизинг,Пасивна,,Договори за лизинг&nbsp;(152),Валути&nbsp;(1),
1523,Получени дългосрочни заеми - овърдрафт,Пасивна,,Договори за кредит&nbsp;(151),Валути&nbsp;(1),
1524,Получени дългосрочни заеми - от свързани лица,Пасивна,,Договори за кредит&nbsp;(151),Валути&nbsp;(1),
153,Кредитни карти,Пасивна,,Договори за банкови карти&nbsp;(153),Валути&nbsp;(1),
154,Дългови инструменти,Пасивна,,Емисии дългови ценни книжа&nbsp;(154),,
159,Други заеми и дългове,Пасивна,,,,
2,СМЕТКИ ЗА ДЪЛГОТРАЙНИ АКТИВИ,,,,,
20,Дълготрайни Материални Активи,,,,,
2011,Земи (Парцели),Активна,,Земи и парцели&nbsp;(201),,
2012,Подобрения върху земите,Активна,,Земи и парцели&nbsp;(201),,
202,Сгради и конструкции,Активна,,Сгради и конструкции&nbsp;(202),,
203,Компютърна техника,Активна,,Компютри и др. хардуер&nbsp;(203),,
204,Съоръжения,Активна,,Съоръжения&nbsp;(204),,
205,Машини и оборудване,Активна,,Машини и оборудване&nbsp;(205),,
206,Транспортни средства,Активна,,Транспортни средства&nbsp;(206),,
207,Офис обзавеждане,Активна,,Офис обзавеждане&nbsp;(207),,
2091,Други ДМА - ДМА по ОП Конкурентноспособност,Активна,,ДМА по ОП Конкурентноспособност&nbsp;(208),,
2099,Други дълготрайни материални активи,Активна,,Други ДМА&nbsp;(209),,
21,Дълготрайни Нематериални Активи,,,,,
211,Продукти от развойна дейност,Активна,,Дълготрайни НЕматериални активи&nbsp;(210),,
212,Програмни продукти,Активна,,Дълготрайни НЕматериални активи&nbsp;(210),,
213,Права върху интелектуална собственост,Активна,,Дълготрайни НЕматериални активи&nbsp;(210),,
214,Права върху индустриална собственост,Активна,,Дълготрайни НЕматериални активи&nbsp;(210),,
219,Други дълготрайни нематериални активи,Активна,,Дълготрайни НЕматериални активи&nbsp;(210),,
22,Дългострочни Финансови Активи,,,,,
221,Инвестиции в дъщерни предприятия,Активна,,"Дъщерни, асоциирани и смесени предприятия&nbsp;(107)",,
222,Инвестиции в асоциирани предприятия,Активна,,"Дъщерни, асоциирани и смесени предприятия&nbsp;(107)",,
223,Инвестиции в смесени предприятия,Активна,,"Дъщерни, асоциирани и смесени предприятия&nbsp;(107)",,
224,Инвестиционни имоти,Активна,,,,
225,"Финансови активи, държани до настъпване на падеж",Активна,,,,
226,"Финансови активи, отчитани по справедлива стойност в печалбата или загубата",Активна,,,,
227,Предоставени дългосрочни заеми и вземания,Активна,,Дебитори&nbsp;(105),,
228,Инвестиции във финансови активи на разположение за продажба,Активна,,,,
229,Инвестиции в други дългосрочни финансови активи,Активна,,,,
23,Търговска Репутация,,,,,
231,Положителна търговска репутация,Активна,,,,
232,Отрицателна търговска репутация,Пасивна,,,,
24,Амортизации,,,,,
2412,Амортизация на сгради и конструкции,Корекционна,,Сгради и конструкции&nbsp;(202),,
2413,Амортизация на компютърна техника,Корекционна,,Компютри и др. хардуер&nbsp;(203),,
2414,Амортизация на съоръжения,Корекционна,,Съоръжения&nbsp;(204),,
2415,Амортизация на машини и оборудване,Корекционна,,Машини и оборудване&nbsp;(205),,
2416,Амортизация на транспортни средства,Корекционна,,Транспортни средства&nbsp;(206),,
2417,Амортизация на офис обзавеждане,Корекционна,,Офис обзавеждане&nbsp;(207),,
24191,Амортизация на други ДМА - ДМА по ОП Конкурентноспособност,Корекционна,,ДМА по ОП Конкурентноспособност&nbsp;(208),,
24199,Амортизация на други ДМА,Корекционна,,Други ДМА&nbsp;(209),,
2421,Амортизация на продукти от развойна дейност,Корекционна,,Дълготрайни НЕматериални активи&nbsp;(210),,
2422,Амортизация на софтуерни продукти,Корекционна,,Дълготрайни НЕматериални активи&nbsp;(210),,
2429,Амортизация на други ДНА,Корекционна,,Дълготрайни НЕматериални активи&nbsp;(210),,
2431,Амортизация на  инвестиционни имоти,Корекционна,,,,
2433,Амортизация на положителна репутация,Корекционна,,,,
25,Корекции при обезценка,,,,,
251,Корекция при обезценка на вземания,Корекционна,,,,
252,Корекция при обезценка на други активи,Корекционна,,,,
3,СМЕТКИ ЗА СТОКОВО - МАТЕРИАЛНИ ЗАПАСИ,,,,,
30,Суровини и Материали,,,,,
301,Доставки,Активна,,,,
302,Основни,Активна,FIFO,Склад&nbsp;(3),Суровини и материали&nbsp;(302),
303,Спомагателни,Активна,FIFO,Склад&nbsp;(3),Суровини и материали&nbsp;(302),
304,Отпадъци и опаковки - Външен пазар,Активна,FIFO,Склад&nbsp;(3),Отпадъци от опаковки&nbsp;(304),
305,Амбалаж,Активна,FIFO,Склад&nbsp;(3),"Амбалаж, инструменти и други суровини и материали&nbsp;(309)",
306,Инструменти,Активна,FIFO,Склад&nbsp;(3),"Амбалаж, инструменти и други суровини и материали&nbsp;(309)",
309,"Други материали, соц. р-ди по КТ, авточасти",Активна,FIFO,Склад&nbsp;(3),"Амбалаж, инструменти и други суровини и материали&nbsp;(309)",
32,Продукция и Стоки,,,,,
321,Стоки за търговия,Активна,FIFO,Склад&nbsp;(3),Стоки&nbsp;(321),
322,Стандартни продукти,Активна,FIFO,Склад&nbsp;(3),Продукти (стандартни)&nbsp;(303),
323,Изделия по поръчка,Активна,FIFO,Склад&nbsp;(3),Продукти (по поръчка)&nbsp;(305),
4,Сметки за разчети,,,,,
40,Доставчици и свързани с тях сметки,,,,,
401,Задължения към доставчици,,,,,
4011,Доставчици,Пасивна,,Доставчици&nbsp;(102),,
4012,Доставчици по ОП Конкурентоспособност,Пасивна,,Доставчици&nbsp;(102),,
402,Вземания от доставчици по аванси,,,,,
4021,Доставчици по аванси,Активна,,Доставчици&nbsp;(102),,
4022,Доставчици по аванси по ОП Конкурентоспособност,Активна,,Доставчици&nbsp;(102),,
403,Задължения към доставчици по търговски кредити,Пасивна,,Доставчици&nbsp;(102),,
404,Задължения към доставчици по доставки при определени условия,Пасивна,,Доставчици&nbsp;(102),,
405,Задължения към доставчици свързани лица,Пасивна,,Доставчици&nbsp;(102),,
406,Разчети по прихванати суми,Пасивна,,Доставчици&nbsp;(102),,
