lastAdded,Последно добавени,,"cat_Products",,,,
privateProducts,Нестандартни,Тип,"cat_Products,store_Products,planning_WorkInProgress",,,,
publicProducts,Стандартни,Тип,"cat_Products,store_Products,planning_WorkInProgress",,,,
eshopProducts,Е-маг артикули,Тип,"cat_Products,store_Products,planning_WorkInProgress",eshop,,,
active,Активни,Състояние,"cat_Products",,,,
closed,Закрити,Състояние,"cat_Products",,,,
templates,Шаблонни,Състояние,"cat_Products",,,,
withStock,Ненулева наличност,Наличности,"store_Products",,,,
withoutStock,Без наличност,Наличности,"store_Products",,,,
positiveStock,Положителна наличност,Наличности,"store_Products,planning_WorkInProgress",,,,
negativeStock,Отрицателна наличност,Наличности,"store_Products,planning_WorkInProgress",,,,
withBatches,С партидност,Партидност,"cat_Products,store_Products,planning_WorkInProgress",batch,,,
withoutBatches,Без партидност,Партидност,"cat_Products,store_Products,planning_WorkInProgress",batch,,,
vat0,ДДС 0%,ДДС,"cat_Products,store_Products,planning_WorkInProgress",,,,
vat9,ДДС 9%,ДДС,"cat_Products,store_Products,planning_WorkInProgress",,,,
vat20,ДДС 20%,ДДС,"cat_Products,store_Products,planning_WorkInProgress",,,,
reservedQuantity,Запазени,Количество,"store_Products",,,,
expectedQuantity,Очаквани,Количество,"store_Products",,,,
freeQuantity,Разполагаеми,Количество,"store_Products",,,,
canSell,Продаваеми,Свойства,"cat_Products",,,,
canBuy,Купуваеми,Свойства,"cat_Products",,,,
canStore,Складируеми,Свойства,"cat_Products",,,,
services,Услуги,Свойства,"cat_Products",,,,
canConvert,Вложими,Свойства,"cat_Products",,,,
canConvertMaterials,Вложими материали,Свойства,"cat_Products",,,,
canConvertServices,Вложими услуги,Свойства,"cat_Products",,,,
fixedAsset,Дълготрайни активи,Свойства,"cat_Products",,,,
fixedAssetStorable,Дълготрайни материални активи,Свойства,"cat_Products",,,,
fixedAssetNotStorable,Дълготрайни НЕматериални активи,Свойства,"cat_Products",,,,
canManifacture,Производими,Свойства,"cat_Products",,,,
generic,Генерични,Свойства,"cat_Products",,,,
activeProducts,Активни артикули,Артикули (Състояние),"store_Products,planning_WorkInProgress",,,,
closedProducts,Закрити артикули,Артикули (Състояние),"store_Products,planning_WorkInProgress",,,,
withBom,С рецепта,Производство,"cat_Products,store_Products,planning_WorkInProgress",,,,
withoutBom,Без рецепта,Производство,"cat_Products,store_Products,planning_WorkInProgress",,,,
replacementsWithoutAsset,Резервни части без машина,Производство,"cat_Products",,,,
numberCode,Цифров код,,"cat_Products,store_Products,planning_WorkInProgress",,"^[0-9]+$","code","ASC"
