en,бригада,brigade
en,звено,unit
en,отдел,department
en,Работно време,Working time
en,Структура,Structure
en,Локация,Location
en,В състава на,In structure on
en,декември,December
en,ноември,November
en,октомври,October
en,септември,September
en,август,August
en,юли,July
en,юни,June
en,май,May
en,април,April
en,март,March
en,февруари,February
en,януари,January
en,Информация,Information
en, за месец, for month 
en,Работен график_4579,Work schedule on structural unit 
en,Работен график,Work schedule
en,Започва на,Starting on
en,График,Schedule
en,Подчинен на,Depend on
en,Сд,Week
en,Нед,Sun
en,Съб,Sat
en,Пет,Fri
en,Чет,Thu
en,Сря,Wed
en,Вто,Tue
en,Пон,Mon
en,I - първа смяна,I - first shift
en,II - втора смяна,II - second shift
en,Н - нощна,N - night
en,Д - дневна,D - day
en,П - почивка,R - rest
en,Структурно звено,Structural unit
en,Цял ден,All day
en,Край,End
en,Продължителност,Duration
en,Създаване на,Creation
en,напомняне,reminder
en,месецa-ден от н_d94c7,month-day from the beginning of the week
en,месецa-ден от н_9f9b7,month-day from the beginning of the month
en,Критичен,Critical
en,Висок,High
en,Нормален,Normal
en,Нисък,Low
en,Декември,December
en,Ноември,November
en,Октомври,October
en,Септември,September
en,Август,August
en,Юли,July
en,Юни,June
en,Май,May
en,Април,April
en,Март,March
en,Февруари,February
en,Януари,January
en,Събития за година,Events for the year
en,Събития за месец,Events for the month
en,Събития за сед_bd9fe,Events for the week
en,Календар на съ_399d7,Calendar of Events and Holidays
en,Получател,Recipient
en,Операция,Operation
en,Напред,Forward
en,Обменени,Exchanged
en,Получени,Received
en,Вътрешни парич_39a7,Internal money transfers
en,Касови обмени _84955,Cash currencies exchanges
en,Обмени на валути,Currencies exchanges
en,Продажба,Sale
en,Екип,Team
en,Артикули,Items
en,Повторно изпра_daf5,Resending
en,месец,month
en,седмица,week
en,ден,day
en,всеки,every
en,Повторение на,Repetition 
en,Напомняне,Reminder
en,Ден от началот_96c47,Day of the week
en,Ден от началот_bb4b7,Day of the month
en,месеца,months
en,седмици,weeks
en,дена,days
en,Съблюдаване,Observation
en,Мярка,Measure
en,Всеки,Each
en,Предварително,Previously
en,Копие на темата,Copy thread
en,Чернова-копие на темата,Draft-copy thread
en,Нотификация-ако няма отговор,Notification-if no reply
en,Нотификация,Notification
en,Отваряне на нишката,Open thread
en,аларма,alarm
en,висок,high
en,нормален,normal
en,нисък,low
en,Приоритет,Priority
en,Напомняния,Reminders
en,Моля запознайт_a5c1,Please read the forwarded email
en,Глоби,Penalties
en,Отпуски,Leave
en,Болнични,Sick days
en,Премии,Bonuses
en,Заплати,Salaries
en,Трудови договори,Employment contracts
en,Търговия,Commerce
en,Задължения,Duties
en,Доставки,Supply
en,Оферти,Quotations
en,Условия на доставка,Delivery terms
en,Назначения,Hires
en,Хранилки,Feeds
en,Галерия,Gallery
en,"Сортиране по ""п_8f67","Sorted by ""Last"""
en,PDF файлове,PDF files
en,last,last
en,title,title
en,Автор,Author
en,Администриране,Admin
en,Адрес,Address
en,Адресант,Addressee
en,Адресат,Recipient
en,Активиране,Activation
en,Активно,Active
en,Банки,Banks
en,Благодаря за и_d297b,Thanks for the email on
en,Бюджетиране,Budget
en,Валути,Currencies
en,Визитник,Contacts
en,Указател,Organizer
en,Време,Time
en,Вход в,Sign in
en,Вход,Enter
en,Входящ имейл,Incoming email
en,Входящи,Incoming
en,Входящо писмо,Incoming mail
en,Г-жа,Ms.
en,Г-н,Mr.
en,Г-ца,Mrs.
en,Град/с,Place
en,Грешка,Error
en,ДА,LTA
en,Данни,Data
en,Дата,Date
en,До,To
en,Добавяне на запис,Add a new record
en,Документи,Documents
en,Държава,Country
en,Език,Language
en,Експорт в CSV,CSV export
en,Заглавие,Title
en,Задачи,Tasks
en,Заключвания,Lockings
en,Запис,Save
en,Уважаема,Dear
en,Уважаеми,Dear
en,Уважаеми колеги,Dear Sirs
en,Здравейте колеги,Dear Sirs
en,Здравейте,Hello
en,Знаци,Chars
en,Известия,Notifications
en,Изпрати,Send
en,Изпращане на и_4908a,Email sending
en,Изпращане,Sending
en,Изпращания,Sendings
en,Изходящ имейл,Outgoing email
en,Изходящи имейли,Outgoings emails
en,Изходящи,Outgoing
en,Име,Name
en,Имейл,Email
en,Невалиден имейл!,Invalid email!
en,Имейли,Emails
en,Инсталирай,Install
en,Интерфейси,Interfaces
en,История,History
en,Калкулатор,Calculator
en,Камери,CTVs
en,Каси,Cash
en,Каталог,Catalog
en,Кетъринг,Catering
en,Кеш,Cache
en,Клас,Class
en,Класове,Classes
en,Ключови думи,Keywords
en,Книги,Books
en,Коментар,Comment
en,Коментари,Comments
en,Контакти,Contacts
en,Копие на,Copy of
en,Копие,Copy
en,Копие към,Copy to
en,Кош,Bin
en,Крон,Cron
en,Кутии,Inboxes
en,Към,Attn
en,Кюпове,Pot
en,Лаборатория,Lab
en,Латиница,Latin
en,Лице,Person
en,Логистика,Logistic
en,Логове,Logs
en,Моля запознайт_181f,Please see the attached invoice:
en,Мониторинг,Monitor
en,Моята Фирма ООД,My Company Ltd
en,На вниманието на,On attention of
en,На,On
en,Наистина ли же_9039f,Do you like to delete this record?
en,Наистина ли же_bfb90,Do you like to reject document?
en,Настройки,Settings
en,Ник,Nick
en,Нишки,Threads
en,Нов запис,New record
en,Нов...,New...
en,Номер,Number
en,Обновяване,Update
en,Обслужване,Services
en,Обхват,Scope
en,Оригинален док_aaf4,Original document
en,От адрес,From address
en,От,From
en,Отваряне,Open
en,Отворени теми в,Open themes in
en,Отговор,Reply
en,Отговорник,Responsible
en,Отказ,Cancel
en,Относно,Subject
en,Оттегляне,Reject
en,П. код,Post code
en,Пакет,Pack
en,Пакети,Packs
en,Папки с нишки о_9fbf,Folders with document threads
en,Папки,Folders
en,Папките на ,Folders of 
en,Парола,Password
en,Персонал,Personnel
en,Печат,Print
en,Писмо,Letter
en,Плъгин,Plugin
en,Плъгини,Plugins
en,Плъгинът,The plugin
en,По брой документи,By documents cnt
en,По последно,By Last
en,По създаване,By creation
en,Подредба,Order
en,Последно,Last
en,Потребител,User
en,Потребители,Users
en,Превод на инте_d1efe,Interface translation
en,Превод,Translation
en,Предлагаме на _859ba,Please see the attached quotation:
en,Премахване,Remove
en,Преместване,Move
en,Прикачени файл_0fc7,Attached files
en,Продажби,Sales
en,Продукти,Products
en,Първо отворените,First opens
en,Първо чакащите,First waitings
en,Разпращане,Broadcast
en,Регистър на пл_28cf2,Register of plugins
en,Редакция,Edit
en,Реф.,Ref.
en,Роли,Roles
en,Рутиране,Routing
en,С избраните ...,With selected ...
en,Сделки,Deals
en,Система,System
en,Складове,Stores
en,Спряно,Stopped
en,Стринг,String
en,Счетоводство,Accounting
en,Създаване,Creation
en,Съобщение,Message
en,Сърдечни поздр_2049,Best regards
en,Състояние,State
en,ТРЗ,Payroll
en,Тел.,Tel
en,Тел,Tel
en,Тесен,Mobile
en,Тип,Type
en,Транспорт,Transport
en,Търсене,Search
en,Уникод,Unicode
en,Управление на _1cd80,Package manager
en,Факс,Fax
en,Фактура за про_288aa,Sale invoice
en,Фамилен,Family
en,Филтрирай,Filter
en,Филтър,Filter
en,Финанси,Finance
en,Фирма,Company
en,Цени,Prices
en,Частен,Private
en,Ядро,Core
en,в,in
en,изход,exit
en,към,to
en,не съществува,not exists
en,Tърсене на доку_d783,Document search
en,Вид документ,Document type
en,Всички папки,All folders
en,Всички,All
en,Търсене на док_9b38e,Documents search
en,Документ,Document
en,Папка,Folder
en,отпечата,print
en,Лог на документи,Documents log
en,Кога,When
en,Кой/Какво,Who/What
en,Кое,What
en,Резултат,Result
en,Несортирани па_11b7,Unsorted folders
en,Права,Rights
en,Достъп,Access
en,Споделяне,Share
en,Потребител(и),User(s)
en,Статус,Status
en,Активни,Active
en,Чакащите,Waitings
en,Приключени,Closed
en,Чернови,Drafts
en,Начало,Begin
en,Повторение,Repeat
en,Отговорници,Responsables
en,Времена,Times
en,Начало на след_28f08,Begin of next repeat
en,Модифициране,Modify
en,Генерирани PDF д_1fee,Generated PDF documents
en,Файл,File
en,MD5,MD5
en,Аватар,Avatar
en,Имена,Names
