Алианц Банк България АД,BUINBGSF
Алфа банка - клон България,CRBABGSF
БНП Париба С. А. - клон София,BNPABGSX
Банка ДСК ЕАД,STSABGSF
Банка Пиреос България АД,PIRBBGSF
Българо-американска кредитна банка АД,BGUSBGSF
Българска банка за развитие АД,NASBBGSF
Българска народна банка,BNBGBGSF
Българска народна банка (BG),BNBGBGSD
ИНГ Банк Н.В. - кл. София,INGBBGSF
ИШБАНК АГ- клон София КЧТ,ISBKBGSF
Инвестбанк АД,IORTBGSF
Интернешънъл Асет Банк АД,IABGBGSF
Корпоративна търговска банка АД,KORPBGSF
Креди Агрикол България ЕАД,BINVBGSF
МКБ Юнионбанк АД,CBUNBGSF
Обединена българска банка АД,UBBSBGSF
Общинска банка АД,SOMBBGSF
ПроКредит Банк (България) АД,PRCBBGSF
Първа инвестиционна банка АД ,FINVBGSF
Райфайзенбанк (България) ЕАД,RZBBBGSF
Регионална Инвестиционна банка - клон България,RIBRBG22
СИБАНК ЕАД,BUIBBGSF
Ситибанк Н. А. - клон София,CITIBGSF
Сосиете Женерал Експресбанк АД,TTBBBG22
ТИ БИ АЙ Банк ЕАД,WEBKBGSF
Те-Дже Зираат Банкасъ - клон София,TCZBBGSF
Токуда Банк АД,CREXBGSF
Търговска банка Д АД,DEMIBGSF
УниКредит Булбанк АД,UNCRBGSF
Централна кооперативна банка АД,CECBBGSF
Юробанк И Еф Джи България АД,BPBIBGSF
