"Суровини и материали","Суровини и материали влагани в производството","materials","canBuy,canStore,canConvert",
"Труд","Вложен труд в производството, услугите и администрацията","labor","canBuy,canConvert",
"Външни услуги","Ползвани от фирмата услуги от външни доставчици","externalServices","canBuy,canConvert",
"Консумативи","Стоки и продукти за употреба / консумация","consumables","canBuy,canConvert",
"Резервни части","Резервни части за поддръжка и ремонт","replacements","canBuy,canConvert,canStore",
"Стоки","Стоки за препродажба","goods","canBuy,canStore,canSell",
"Продукти","Произвеждани стандартни продукти по каталог","products","canManifacture,canSell,canStore,canConvert",
"Заготовки","Полуготови (междинни) продукти за влагане в производството","prefabrications","canManifacture,canStore,canConvert",
"Услуги","Предлагани от фирмата услуги","services","canManifacture,canConvert,canSell",
"Дълготрайни Активи","Дълготрайни Активи","fixedAssets","canBuy,canSell,fixedAsset,canStore","брой"
