"Суровини и материали","materials",,"Goods and materials"
"Труд","labor",,"Labor"
"Външни услуги","externalServices",,"External services"
"Консумативи","consumables",,"Consumables"
"Резервни части","replacements",,"Replacements"
"Стоки","goods",,"Goods"
"Продукти","products",,"Products"
"Заготовки","prefabrications",,"Prefabrications"
"Услуги","services",,"Services"
"Дълготрайни активи","fixedAssets",,"Fixed assets"
"Ценова група","priceGroup",,"Price group"
"0","group0","Ценова група",
"A","groupA","Ценова група",
"B","groupB","Ценова група",
"Отговорно пазене","packagings",,"Packagings"
Отпадъци,waste,"Суровини и материали",Waste
"POS артикули",posProducts,,POS products
Top 100,topPos100,"POS артикули","Top 100"
