"бака","бака",,,"active",,,0,"packaging",1,1,
"брой","бр.",,1,"active","pcs","|br|broj|broq|brojki|pcs|br.|",0,"uom",1,1,"H87"
"варел","варел",,,"active",,,0,"packaging",1,1,
"кашон","кашон",,,"active",,,0,"packaging",1,1,"XDK"
"квадратен метър","кв.м",,1,"active","sq.m","|kvadraten metar|kv.m|kvadratni metri|kv.metar|kv.metri|kvad. metar|kvad. metri|kvad.metar|kvad.metri|",2,"uom",,1,"MTK"
"квадратен сантиметър","кв.см","квадратен метър","0.0001","active","sq.cm","|kvadraten santimetar|kv.sm|kvadratni santimetri|kv.santimetar|kv.santimetri|kvad. santimetar|kvad. santimetri|kvad.santimetar|kvad.santimetri|",2,"uom",,1,"CMK"
"килограм","кг",,1,"active","kg","|kg|kilogram|kilograma|kilogr.|kila|kilo|kg.|",3,"uom",,1,"KGM"
"килограм на кубичен метър","кг/м3","килограм на кубичен метър",1,"active","kg/m3","|kilogram na kubichen metar|",3,"uom",,1,"KMQ"
"киловатчас","кВч","ватчас",1000,"active","kWh","|kwh|kilovatchas|kilovatchasa|kilowatchasa|kilowatchasa|",3,"uom",,1,"KWH"
"секунда","сек.","секунда",1,"active","s","|sec|secunda|seconds|second|secundi|",0,"uom",,1,"SEC"
"милилитър","мл","кубичен метър","0.000001","active","ml","|ml|mililitar|",0,"uom",,1,"MLT"
"минута","мин.","секунда",60,"active","min","|min|minuta|minuti|minutes|minute|",0,"uom",,1,"MIN"
"пакет","пакет",,,"active",,,0,"packaging",1,1,"XPK"
"палет","палет",,,"active",pallet,,0,"packaging",1,1,"X8A"
"ролка","ролка",,,"active",,,0,"packaging",1,1,"XCW"
"стек","стек",,,"active",,,0,"packaging",1,1,
"тон","т","килограм",1000,"active","t","|t|ton|tona|",3,"uom",,1,"27"
"хиляди бройки","хил. бр.","брой",1000,"active","K pcs","|hilqdi brojki|hilqda brojki|",3,"uom",,1,"T3"
"час","ч","секунда",3600,"active","h","|h|hour|hr|chas|chasa|",2,"uom",,1,"HUR"
"чувал","чувал",,,"active",,,0,"packaging",1,1,"XSA"
"ампер","A",,1,"closed","A","|a|ampera|amper|",3,"uom",,1,"AMP"
"ват","w",,1,"closed","w","|vat|wat|w|",3,"uom",,1,"WTT"
"грам","г","килограм","0.001","closed","g","|gram|grama|gr|",0,"uom",,1,"GRM"
"грам на квадратен метър","г/м2","грам на квадратен метър",1,"closed","g/m2","|gram na kvadraten metar|",1,"uom",,1,"GM"
"грам на кубичен сантиметър","г/см3","килограм на кубичен метър",1000,"closed","g/cm3","|gram na kubichen santimetar|",0,"uom",,1,"23"
"джаул","J",,1,"closed","J","|jaul|j|jaula|",0,"uom",,1,"JOU"
"кандела","cd",,1,"closed","cd","|cd|candela|candeli|",0,"uom",,1,"CDL"
"келвин","K",,1,"closed","K","|k|kelvin|kelvina|",2,"uom",,1,"KEL"
"килограм на литър","кг/л","килограм на кубичен метър",1000,"closed","kg/l","|килограм на литър|",3,"uom",,1,
"километър","км","метър",1000,"active","km","|kilometri|kilometra|km|",3,"uom",,1,"KMT"
"клетка","клетка",,,"active",,,0,"packaging",1,1,"XCW"
"кубичен метър","куб.м",,1,"active","cub.m","|kubichen metar|kubichni metri|kub.m|kub.metra|kub. metri|kub. metra|kubichni metri|kub. metar|",3,"uom",,1,"MTQ"
"литър","л","кубичен метър","0.001","active","l","|l|litar|litri|",3,"uom",,1,"LTR"
"метър","м",,1,"active","m","|m|meter|metar|metri|metra|",2,"uom",,1,"MTR"
"микрон","μ","метър","0.000001","closed","mk","|mk|mikron|mikrona|μ|",0,"uom",,1,"4H"
"милиампер","мил.амп","ампер","0.001","closed","mA","|ma|miliamper|miliampera|miliamperi|",0,"uom",,1,"4K"
"милиграм","мг","килограм","0.000001","closed","mg","|mg|miligrama|miligram|",0,"uom",,1,"MGM"
"милиметър","мм","метър","0.001","closed","mm","|mm|milimetar|milimetra|",0,"uom",,1,"MMT"
"мол","мол",,1,"closed","mol","|mol|mola|",2,"uom",,1,"C62"
"ом","Ω",,1,"closed","ohm","|om|ohm|oma|Ω|",0,"uom",,1,"OHM"
"сантиметър","см","метър","0.01","closed","cm","|cm|sm|santimetra|santimetar|santimetri|",1,"uom",,1,"CMT"
