"килограм","кг",,1,"active"
"грам","гр ","килограм",0.001,"active"
"милиграм","милгр","килограм",0.000001,"closed"
"тон","т","килограм",1000,"active"
"метър","м",,1,"active"
"сантиметър","см","метър",0.01,"active"
"милиметър","мм","метър",0.001,"closed"
"микрон","мн","метър",0.000001,"active"
"километър","км","метър",1000,"active"
"квадратем метър","кв.м","кв. метър",1,"closed"
"кубичен метър","куб. М","куб. М",1,"closed"
"литър","л",,1,"active"
"милилитър","мл","литър",0.001,"closed"
"брой","бр",,1,"active"
"хиляди бройки","хил. бр.","брой",1000,"active"
"секунда","с","секунда",1,"closed"
"минута","мин","секунда",60,"active"
"час","ч","секунда",3600,"active"
"денонощие","д","секунда",86400,"closed"
"седмица","сед","секунда",604800,"closed"
"ват","вт",,1,"closed"
"миливат","мил.вт","ват",0.001,"closed"
"киловат","квт","ват",1000,"active"
"мегават","мвт","ват",1000000,"active"
"гигават","гвт","ват",1000000000,"closed"
"ватчас","вт/ч",,1,"closed"
"киловатчас","квт/ч","ватчас",1000,"active"
"мегаватчас","мвт/ч","ватчас",1000000,"active"
"ампер","амп",,1,"closed"
"милиампер","мил.амп","ампер",0.001,"closed"
"ом","ом",,1,"closed"
"килоом","кил.ом","ом",1000,"closed"
"келвин","кел",,1,"closed"
"мол","мол",,1,"closed"
"кандела","кан",,1,"closed"
"градус Целзий","гр Ц",,1,"active"
"градус Фаренхайт","гр Ф","гр Ц",33.8,"closed"
"джаул","дж",,1,"closed"
