Благоевград,BG69 RZBB 9155 3320 0377 15
Бургас,BG42 STSA 9300 3303 5761 55
Варна,BG55 TTBB 9400 3315 0687 77
Велико Търново,BG09 UNCR 7527 3340 0445 37
Видин,BG07 UNCR 7630 3300 0000 60
Враца,BG74 UBBS 8002 3300 1359 33
Габрово,BG63 STSA 9300 3305 0169 06
Добрич,BG04 BUIN 7082 3360 0006 33
Кърджали,BG32 RZBB 9155 3320 0373 14
Кюстендил,BG79 STSA 9300 3303 3016 58
Ловеч,BG33 UNCR 9660 3385 2667 18
Монтана,BG98 UBBS 8002 3300 1311 36
Пазарджик,BG51 UNCR 7630 3300 0001 41
Перник,BG22 UBBS 8002 3300 1284 30
Плевен,BG92 UNCR 7630 3300 0003 73
Пловдив,BG44 UNCR 9660 3359 8981 10
Разград,BG66 UBBS 8002 3300 1213 33
Русе,BG51 UBBS 8002 3300 1237 37
Силистра,BG13 UBBS 8002 3300 1370 31
Сливен,BG34 UBBS 8002 3300 1307 36
Смолян,BG95 STSA 9300 3300 6718 94
София-област,BG40 UNCR 9660 3318 0869 14
Стара Загора,BG47 UNCR 7630 3300 0003 10
Търговище,BG33 UBBS 8002 3300 1215 39
Хасково,BG86 RZBB 9155 3320 0405 13
Шумен,BG93 UBBS 8002 3300 1246 30
Ямбол,BG20 STSA 9300 3305 1437 80
