Минимална надценка,cond_type_Percent,minSurplusCharge,Продажба,,,,
Максимална надценка,cond_type_Percent,maxSurplusCharge,Продажба,,,,
Условие на доставка,cond_type_Delivery,deliveryTermSale,Продажба,,,,
Метод на плащане,cond_type_PaymentMethod,paymentMethodSale,Продажба,,,,
Условие на доставка,cond_type_Delivery,deliveryTermPurchase,Покупка,,,,
Метод на плащане,cond_type_PaymentMethod,paymentMethodPurchase,Покупка,,,,
Общи условия,cond_type_Url,commonConditionSale,Продажба,,,,
Общи условия,cond_type_Url,commonConditionPur,Покупка,,,,
Други условия към фактура,cond_type_Text,invoiceText,,,,,
Очаквано тегло на доставка (кг),cond_type_Double,calcShippingWeight,Продажба,,,,
Очакван обем на доставка (куб.м),cond_type_Double,calcShippingVolume,Продажба,,,,
Склад,cond_type_Store,defaultStoreSale,Продажба,,,,
Склад,cond_type_Store,defaultStorePurchase,Покупка,,,,
Политика за делта,cond_type_PriceList,deltaList,Продажба,,,,
Политика за делта,cond_type_PriceList,deltaList,Продажба,,,,
Листвани продукти,cond_type_SaleListings,salesList,Продажба,,,,
Листвани продукти,cond_type_PurchaseListings,purchaseList,Покупка,,,,
Списък от предишни продажби,cond_type_YesOrNo,autoSalesMakeList,Продажба,,,,
Корекция за делти,cond_type_Percent,deltaCorrect,Продажба,,"ceo,salesMaster",,
Отговорно пазене,cond_type_YesOrNo,consignmentContragents,,,,,
Минимална надценка,cond_type_Percent,minSurplusCharge,Продажба,,,,
Режим на ДДС,cond_type_Enum,saleChargeVat,Продажба,,,"separate=Отделен ред за ДДС,yes=Включено ДДС в цените,exempt=Освободено от ДДС,no=Без начисляване на ДДС",
Режим на ДДС,cond_type_Enum,quotationChargeVat,Оферта,,,"separate=Отделен ред за ДДС,yes=Включено ДДС в цените,exempt=Освободено от ДДС,no=Без начисляване на ДДС",
Еднократно експедиране (без частични ЕН),cond_type_YesOrNo,salesOneTimeDelivery,Продажба,,,,
Еднократно получаване (без частични СР),cond_type_YesOrNo,purchaseOneTimeDelivery,Покупка,,,,
Режим на ДДС,cond_type_Enum,purchaseChargeVat,Покупка,,,"separate=Отделен ред за ДДС,yes=Включено ДДС в цените,exempt=Освободено от ДДС,no=Без начисляване на ДДС",
Задължителен срок за доставка,cond_type_YesOrNo,saleMandatoryDeliveryTime,Продажба,,,,
Задължителен срок за доставка,cond_type_YesOrNo,purchaseMandatoryDeliveryTime,Покупка,,,,
Допълнителни условия,cond_type_Text,otherConditionSale,Продажба,,,,"richtext=yes"
Допълнителни условия,cond_type_Text,otherConditionPurchase,Покупка,,,,"richtext=yes"
Допълнителни условия (EN),cond_type_Text,otherConditionSaleEn,Продажба,,,,"richtext=yes"
Допълнителни условия (EN),cond_type_Text,otherConditionPurchaseEn,Покупка,,,,"richtext=yes"
Шаблон при изпращане на Заявка към Доставчик (BG),cond_type_DocTemplate,requestSupplierTplBg,Покупка,,,,"class=purchase_Purchases,lang=bg"
Шаблон при изпращане на Заявка към Доставчик (EN),cond_type_DocTemplate,requestSupplierTplEn,Покупка,,,,"class=purchase_Purchases,lang=en"
Политика за служители,cond_type_PriceList,employeesList,Продажба,,,,
Сума в общо по МТК,cond_type_YesOrNo,totalInPackListWithTariffCode,"Packing list за митница",,,,
Тара в общо по МТК,cond_type_YesOrNo,tareInPackListWithTariffCode,"Packing list за митница",,,,
Праг на просрочие,cond_type_Double,saleOverdueAmount,Продажба,"дни × сума",,,
