1,1,,"Нова година","holiday","Честита Нова [#year#] Година, [#name#]!
Други държави:Армения, Аржентина, Антигуа и Барбуда, Ангола, Андора, Австрия, Австралия, Азербайджан, Бахамските острови, Барбадос, Беларус, Белгия, Белиз, Бенин, Бермудите, Боливия, Босна и Херцеговина, Ботсуана, Бразилия, Буркина Фасо, Бурунди, Камбоджа, Камерун, Канада, Кабо Верде, Чад, Чили, Китайската народна република, Хонконг, Макао, Република Китай (Тайван), Централноафриканската република, Колумбия, Демократична република Конго, Република Конго, островите Кук, Коста Рика, Кот д'Ивоар, Хърватия, Кипър, Чехия, Дания, Джибути, Доминиканската република, Еквадор, Еритрея, Естония, Финландия, Франция, Гамбия, Грузия, Германия, Гана, Гърция, Гренландия, Гватемала, Гвиана, Хондурас, Унгария, Исландия, Индонезия, Република Ирландия, Италия, Ямайка, Япония, Йордания, Казахстан, Кения, Кирибати, Северна Корея, Южна Корея, Киргизстан, Латвия, Ливан, Либерия, Лихтенщайн, Литва, Люксембург, Македония, Мадагаскар, Малайзия, Сабах, Мали, Малта, Маршаловите острови, Мавриций, Мексико, Федерални щати Микронезия, Молдова, Монголия, Черна гора, Мозамбик, Намибия, Науру, Непал, Холандия, Нова Зеландия, Никарагуа, Нигер, Нигерия, Норвегия, Палестина, Палау, Панама, Папуа Нова Гвинея, Парагвай, Перу, Филипини, Полша, Португалия, Зимбабве, Ромъния, Русия, Руанда, Самоа, Сърбия, Словения, Соломоновите острови, Сомалия, Южна Африка, Испания, Суринам, Швеция, Швейцария, Сирия, Сао Томе и Принсипи, Таджикистан, Танзания, Тайланд, Тринидад и Тобаго, Турция, Туркменистан, Тувалу, Уганда, Украйна, Обединеното кралство, САЩ, Уругвай, Узбекистан, Венецуела, Виетнам, Замбия, Зимбабве"
2,1,,"Втори ден на Нова Година","holiday","Много Здраве, Щастие и Успехи през [#year#] година, [#name#]!

Други държави: 
Азербайджан"
3,3,,"Деня на Освобождението","holiday","Поздрави за Деня на Освобождението на България, [#name#]!"
8,3,,"Международен ден на жената","holiday","Честит 8-ми Март, [#name#]!

Други държави: Ангола, Азербайджан"
1,5,,"Деня на Труда","holiday","Поздрави за Деня на Труда, [#name#]!
Други държави: Афганистан, Алжир, Ангола, Аржентина, Армения, Австрия, Бангладеш, Беларус, Белгия, Белиз, Бенин, Боливия, Босна и Херцеговина, Ботсуана, Бразилия, Буркина Фасо, Бирма, Бурунди, Камбоджа, Камерун, Кабо Верде, Чад, Чили, Народна република Китай, Хонконг, Макао, Централноафриканската република, Колумбия, Демократична република Конго, Република Конго, Коста Рика, Кот д'Ивоар, Хърватия, Куба, Кипър, Северен Кипър, Чехия, Джибути, Доминиканската република, Еквадор, Египет, Етиопия, Франция, Гамбия, Германия, Гана, Гърция, Гватемала, Гвиана, Хаити, Хондурас, Унгария, Исландия, Индия, Ирак, Италия, Кения, Северна Корея, Киргизстан, Латвия, Ливан, Ливан, Люксембург, Македония, Мадагаскар, Малайзия, Мали, Мавриций, Мексико, Молдова, Черна гора, Мароко, Мозамбик, Намибия, Никарагуа, Нигер, Нигерия, Норвегия, Палестина, Пакистан, Панама, Парагвай, Перу, Филипини, Полша, Португалия, Румъния, Руанда, Сърбия, Сингапур, Словакия, Словения, Сомалия, Сомалиленд, Южна Африка, Испания, Суринам, Швеция, Швейцария, Сирия, Сао Томе и Принсипи, Таджикистан, Танзания, Турция, Уганда, Украйна, Уругвай, Венецуела, Виетнам, Замбия, Зимбабве"
6,5,,"Гергьовден","holiday","Поздрави за Деня на Храбростта, [#name#]!"
24,5,,"Деня на Славянската Писменост","holiday","Поздрави за Деня на Славянската Писменост, [#name#]!"
6,9,,"Деня на Съединението","holiday","Поздрави за Деня на Съединението, [#name#]!"
22,9,,"Деня на Независимостта","holiday","Поздрави за Деня на Независимостта, [#name#]!"
1,11,,"Деня на народните будители","holiday","Поздрави за Деня на Народните Будители, [#name#]!"
24,12,,"Бъдни вечер","holiday","Бъдни вечер наближава, чудеса на всеки подарява, [#name#]!"
25,12,,"Коледа","holiday","Честито Рождество Христово, [#name#]!
Други държави: Аржентина, Андора, Ангола, Антигуа  и Барбуда, Австралия, Австрия, Бахамските острови"
26,12,,"Втори ден на Коледа","holiday","Честита Коледа, [#name#]!"
-2,"EST",,"Велики петък","holiday",
-1,"EST",,"Велика събота","holiday",
0,"EST",,"Великден","holiday","Христос Воскресе, [#name#]"
1,1,,"Васильовден","nameday","vasil, vasilka, veselin, veselina, vesela, vesel, vesela, veselin, veselina, veselka, vesi, veska, vesko, veso, vessela, vesselin, vesselina, vesso, vessy, vesy, vasi, vasia, vasil, vasilena, vasilka, vaska, vasko, vaso, vassil, vasya"
2,1,,"Имен ден","nameday","goran, goritsa, goriza, silvestar, silvester, sylvester, silvia, silvya, silva, silvana, silvina, silveto, silvi, silvija, silvina, silviq, silviya, ognian, ognyan, ogi, ogy, ognyana, ogniana, ognjan, ognqn, ognyan, plam, plama, plame, plamen, plamena, plamenka, plamenna, plami, plamka, plamcho, plamencho, serafim"
4,1,,"Имен ден","nameday","tihomir, tisho, tihomira, tihomi, tixomir, tixomira"
6,1,,"Имен ден","nameday","jordan, jordanka, yordan, yordanka, iordan, iordanka, dancho, dan4o, danka, bogoljub, bogoljuba, bojan, boyan, bojana, boyana, bozhan, bozhana, dana, bojan, bogomil, bojana, bogdan, bogdana, najden, naiden, nayden, teodosi, teodosii, teodosiy"
7,1,,"Св. Йоан Кръстител (Ивановден)","nameday","ivan, ivana, ivancho, ivanela, ivanina, ivanka, vani, vania, vanina, vanio, vanja, vanka, vankata, vanko, vanq, vanya, vanyo, jan, jana, jane, janet, janeta, jani, janko, ioan, ioana, ioanna, yoan, yoana, yoanna, iovka, iovko, yovka, yovko, jovka, jovko, ivanichka, ivayla, ivaylo, ivailo, ivajlo, ivalin, ivalina, ivam, ivalyn, ivalyna, ivelin, ivelina, ivo, joncho, yoncho, ioncho, jonka, yonka, ionka, ionka, jonka, yonka, jonko, ionko, yonko, yoto, joto"
11,1,,"Преп. Теодосий Велики","nameday","bogdan, bogdana, bogomila, teodosi, teodosyi, teodosii"
12,1,,"Света Татяна","nameday","tatjana, tatyana, tatiana, tania, tanq, tatqna"
14,1,,"Преп. Отци,избити в Синай и Раита. Св.Нина (Отдание на Богоявление)","nameday","adam"
