SiteType,SiteType_EN,SiteName,SiteName_EN,PostCode
гр.,gr.,АЙТОС,AYTOS,8500
гр.,gr.,АКСАКОВО,AKSAKOVO,9154
гр.,gr.,АЛФАТАР,ALFATAR,7570
гр.,gr.,АНТОНОВО,ANTONOVO,7970
гр.,gr.,АПРИЛЦИ,APRILTSI,5641
гр.,gr.,АРДИНО,ARDINO,6750
гр.,gr.,АСЕНОВГРАД,ASENOVGRAD,4230
гр.,gr.,АХЕЛОЙ,AHELOY,8217
гр.,gr.,АХТОПОЛ,AHTOPOL,8280
гр.,gr.,БАЛЧИК,BALCHIK,9600
гр.,gr.,БАНКЯ,BANKYA,1320
гр.,gr.,БАНСКО,BANSKO,2770
гр.,gr.,БАНЯ,BANYA,4360
гр.,gr.,БАТАК,BATAK,4580
гр.,gr.,БАТАНОВЦИ,BATANOVTSI,2340
гр.,gr.,БЕЛЕНЕ,BELENE,5930
гр.,gr.,БЕЛИЦА,BELITSA,2780
гр.,gr.,БЕЛОВО,BELOVO,4470
гр.,gr.,БЕЛОГРАДЧИК,BELOGRADCHIK,3900
гр.,gr.,БЕЛОСЛАВ,BELOSLAV,9178
гр.,gr.,БЕРКОВИЦА,BERKOVITSA,3500
гр.,gr.,БЛАГОЕВГРАД,BLAGOEVGRAD,2700
гр.,gr.,БОБОВ ДОЛ,BOBOV DOL,2670
гр.,gr.,БОБОШЕВО,BOBOSHEVO,2660
гр.,gr.,БОЖУРИЩЕ,BOZHURISHTE,2227
гр.,gr.,БОЙЧИНОВЦИ,BOYCHINOVTSI,3430
гр.,gr.,БОЛЯРОВО,BOLYAROVO,8720
гр.,gr.,БОРОВО,BOROVO,7174
гр.,gr.,БОТЕВГРАД,BOTEVGRAD,2140
гр.,gr.,БРАЦИГОВО,BRATSIGOVO,4579
гр.,gr.,БРЕГОВО,BREGOVO,3790
гр.,gr.,БРЕЗНИК,BREZNIK,2360
гр.,gr.,БРЕЗОВО,BREZOVO,4160
гр.,gr.,БРУСАРЦИ,BRUSARTSI,3680
гр.,gr.,БУРГАС,BURGAS,8000
гр.,gr.,БУХОВО,BUHOVO,1830
гр.,gr.,БЪЛГАРОВО,BALGAROVO,8110
гр.,gr.,БЯЛА,BYALA,9101
гр.,gr.,БЯЛА,BYALA,7100
гр.,gr.,БЯЛА СЛАТИНА,BYALA SLATINA,3200
гр.,gr.,БЯЛА ЧЕРКВА,BYALA CHERKVA,5220
гр.,gr.,ВАРНА,VARNA,9000
гр.,gr.,ВЕЛИКИ ПРЕСЛАВ,VELIKI PRESLAV,9850
гр.,gr.,ВЕЛИКО ТЪРНОВО,VELIKO TARNOVO,5000
гр.,gr.,ВЕЛИНГРАД,VELINGRAD,4600
гр.,gr.,ВЕТОВО,VETOVO,7080
гр.,gr.,ВЕТРЕН,VETREN,4480
гр.,gr.,ВИДИН,VIDIN,3700
гр.,gr.,ВРАЦА,VRATSA,3000
гр.,gr.,ВЪЛЧЕДРЪМ,VALCHEDRAM,3650
гр.,gr.,ВЪЛЧИ ДОЛ,VALCHI DOL,9280
гр.,gr.,ВЪРБИЦА,VARBITSA,9870
гр.,gr.,ВЪРШЕЦ,VARSHETS,3540
гр.,gr.,ГАБРОВО,GABROVO,5300
гр.,gr.,ГЕНЕРАЛ ТОШЕВО,GENERAL TOSHEVO,9500
гр.,gr.,ГЛАВИНИЦА,GLAVINITSA,7630
гр.,gr.,ГЛОДЖЕВО,GLODZHEVO,7040
гр.,gr.,ГОДЕЧ,GODECH,2240
гр.,gr.,ГОРНА ОРЯХОВИЦА,GORNA ORYAHOVITSA,5100
гр.,gr.,ГОЦЕ ДЕЛЧЕВ,GOTSE DELCHEV,2900
гр.,gr.,ГРАМАДА,GRAMADA,3830
гр.,gr.,ГУЛЯНЦИ,GULYANTSI,5960
гр.,gr.,ГУРКОВО,GURKOVO,6199
гр.,gr.,ГЪЛЪБОВО,GALABOVO,6280
гр.,gr.,ДВЕ МОГИЛИ,DVE MOGILI,7150
гр.,gr.,ДЕБЕЛЕЦ,DEBELETS,5030
гр.,gr.,ДЕВИН,DEVIN,4800
гр.,gr.,ДЕВНЯ,DEVNYA,9160
гр.,gr.,ДЖЕБЕЛ,DZHEBEL,6850
гр.,gr.,ДИМИТРОВГРАД,DIMITROVGRAD,6400
гр.,gr.,ДИМОВО,DIMOVO,3750
гр.,gr.,ДОБРИНИЩЕ,DOBRINISHTE,2777
гр.,gr.,ДОБРИЧ,DOBRICH,9300
гр.,gr.,ДОЛНА БАНЯ,DOLNA BANYA,2040
гр.,gr.,ДОЛНА МИТРОПОЛИЯ,DOLNA MITROPOLIA,5855
