key,day,base,weekday,year,title,type,info,nameday
,1,1,,,Нова година,holiday,"Честита Нова [#year#] Година, [#name#]!",
,2,1,,,Втори ден на Нова Година,holiday,"Много Здраве, Щастие и Успехи през [#year#] година, [#name#]!",
,3,3,,,Деня на Освобождението,holiday,"Поздрави за Деня на Освобождението на България, [#name#]!",
,8,3,,,Международен ден на жената,holiday,Празник на жената и на майката,
,1,5,,,Деня на Труда,holiday,Ден на труда,
,6,5,,,Гергьовден,holiday,"Поздрави за Деня на Храбростта, [#name#]! , Св. вмчк Георги Победоносец",
,24,5,,,Деня на Славянската Писменост,holiday,"Поздрави за Деня на Славянската Писменост, [#name#]!",
,6,9,,,Деня на Съединението,holiday,"Поздрави за Деня на Съединението, [#name#]!",
,22,9,,,Деня на Независимостта,holiday,"Поздрави за Деня на Независимостта, [#name#]!",
,1,11,,,Деня на народните будители,holiday,"Поздрави за Деня на Народните Будители, [#name#]!",
,24,12,,,Бъдни вечер,holiday,"Бъдни вечер наближава, чудеса на всеки подарява, [#name#]!",
,25,12,,,Коледа,holiday,"Честито Рождество Христово, [#name#]!
Други държави: Аржентина, Андора, Ангола, Антигуа  и Барбуда, Австралия, Австрия, Бахамските острови",
,26,12,,,Втори ден на Коледа,holiday,"Честита Коледа, [#name#]!",
,-2,EST,,,Велики петък,holiday,,
,-1,EST,,,Велика събота,holiday,,
,0,EST,,,Великден,holiday,"Христос Воскресе, [#name#]",
,1,1,,,Васильовден,nameday,,"vasil, vasilka, veselin, veselina, vesela, vesel, vesela, veselin, veselina, veselka, vesi, veska, vesko, veso, vessela, vesselin, vesselina, vesso, vessy, vesy, vasi, vasia, vasil, vasilena, vasilka, vaska, vasko, vaso, vassil, vasya"
,2,1,,,свети Силвестър,nameday,"Почитаме свети Силвестър, роден в началото на ІV в. в Рим. Той управлявал цели 21 години Римската църква и покръстил самия император Константин Велики. ","goran, goritsa, goriza, silvestar, silvester, sylvester, silvia, silvya, silva, silvana, silvina, silveto, silvi, silvija, silvina, silviq, silviya, ognian, ognyan, ogi, ogy, ognyana, ogniana, ognjan, ognqn, ognyan, plam, plama, plame, plamen, plamena, plamenka, plamenna, plami, plamka, plamcho, plamencho, serafim"
,4,1,,,Събор на св. 70 апостоли. Прпмчк Онуфрий Габровски. Преп. Теоктист ,nameday,," tihomir, tisho, tihomira, tihomi, tixomir, tixomira"
,6,1,,,Св. Богоявление. Кръщение Господне (Йордановден) ,nameday,,"jordan, jordanka, yordan, yordanka, iordan, iordanka, dancho, dan4o, danka, bogoljub, bogoljuba, bojan, boyan, bojana, boyana, bozhan, bozhana, dana, bojan, bogomil, bojana, bogdan, bogdana, najden, naiden, nayden, teodosi, teodosii, teodosiy"
