city,lat,lng,population
София,42.6975,23.3241,1355142
Пловдив,42.1433,24.7489,384088
Варна,43.2078,27.9169,369162
Бургас,42.5,27.4667,226868
Русе,43.8475,25.9544,163712
Стара Загора,42.4247,25.6256,158668
Плевен,43.4078,24.6203,123588
Сливен,42.6808,26.3164,107570
Добрич,43.5667,27.8333,104530
Шумен,43.27,26.9244,97719
Хасково,41.9311,25.5575,93821
Пазарджик,42.1892,24.3317,84619
Ямбол,42.4844,26.5086,84232
Перник,42.6097,23.0308,83973
Благоевград,42.0219,23.0975,82606
Велико Търново,43.0822,25.6317,72207
Враца,43.2,23.55,69493
Кърджали,41.64,25.3708,66128
Кюстендил,42.2811,22.6889,63359
Габрово,42.8711,25.315,62938
Асеновград,42.0069,24.8756,59793
Видин,43.9853,22.8764,58018
Казанлък,42.6167,25.4,56047
Монтана,43.4078,23.225,49597
Търговище,43.2467,26.5719,45535
Димитровград,42.0611,25.5933,45098
Силистра,44.1186,27.2603,42651
Ловеч,43.1342,24.7172,42343
Разград,43.5267,26.5242,41909
Петрич,41.3953,23.2069,40728
Дупница,42.265,23.1178,39467
Горна Оряховица,43.1222,25.6897,35031
Смолян,41.5753,24.7128,31548
Сандански,41.5589,23.2744,30695
Самоков,42.3381,23.56,29094
Нова Загора,42.4903,26.0122,26660
Карлово,42.643,24.8053,25919
Велинград,42.0267,23.991,25764
Севлиево,43.0258,25.1039,25372
Лом,43.8272,23.2364,25172
Айтос,42.7,27.25,24750
Свищов,43.6186,25.3439,24459
Харманли,41.9297,25.9019,23932
Троян,42.8844,24.7094,23520
Ботевград,42.9083,23.7919,22742
Гоце Делчев,41.5728,23.7294,21969
Пещера,42.0322,24.3022,21824
Карнобат,42.65,26.9833,20411
Свиленград,41.7675,26.1975,20390
Момчилград,41.5272,25.4075,19609
Панагюрище,42.5047,24.1892,18350
Попово,43.3481,26.2275,17703
Чирпан,42.1994,25.3242,17522
Раковски,42.2875,24.9678,16731
Първомай,42.0994,25.2242,15518
Провадия,43.1789,27.4431,15095
Берковица,43.2361,23.1258,14993
Нови Пазар,43.35,27.2,14931
Радомир,42.5467,22.9642,14880
Ихтиман,42.4333,23.8167,14656
Поморие,42.5586,27.6417,14634
Нови Искър,42.8031,23.3436,13768
Несебър,42.6608,27.7139,13559
Раднево,42.2886,25.9336,13554
Балчик,43.4078,28.1622,13393
Разлог,41.8853,23.4667,13158
Бяла Слатина,43.4667,23.9333,12935
Козлодуй,43.7781,23.7275,12400
Каварна,43.4333,28.3389,12369
Стамболийски,42.1344,24.5353,12346
Павликени,43.2367,25.3092,11921
Исперих,43.7156,26.8275,11797
Мездра,43.1425,23.7142,11719
Костинброд,42.8167,23.2167,11430
Етрополе,42.8333,24,11292
Банкя,42.7,23.1333,11233
Кнежа,43.5,24.0833,11124
Елхово,42.1719,26.5658,10929
Омуртаг,43.1072,26.4192,10825
Тутракан,44.0481,26.6044,10370
Ардино,41.5833,25.1333,10336
Луковит,43.2061,24.1631,10316
Тетевен,42.9167,24.2667,10279
Кубрат,43.7967,26.5011,10011
Трявна,42.8667,25.4919,9634
Банско,41.8333,23.4833,9497
Средец,42.3461,27.1808,9237
Велики Преслав,43.1614,26.8125,9196
Кричим,42.0414,24.47,9188
Девня,43.2189,27.5603,9036
Ракитово,41.99,24.0872,8977
Септември,42.2183,24.1237,8813
Крумовград,41.4719,25.6528,8800
Лясковец,43.1061,25.7153,8728
Симеоновград,42.0344,25.8319,8539
Джебел,41.5,25.3,8514
Дулово,43.8225,27.1406,8493
Аксаково,43.2592,27.8175,8164
Белене,43.6456,25.1258,8122
Белослав,43.1892,27.705,8017
Своге,42.9594,23.3477,8003
Дряново,42.9736,25.4747,7908
Любимец,41.8333,26.0833,7892
Тервел,43.75,27.4,7632
Златоград,41.3797,25.0928,7623
Долни Чифлик,42.9931,27.7158,7557
Симитли,41.8919,23.1111,7372
Пирдоп,42.7,24.1833,7353
Куклен,42.0353,24.7853,7331
