"Abkhaz ","аҧсуа бызшәа ","ab "
"Afar ","Afaraf ","aa "
"Afrikaans ","Afrikaans ","af "
"Akan ","Akan ","ak "
"Albanian ","gjuha shqipe ","sq "
"Amharic ","አማርኛ ","am "
"Arabic ","العربية ","ar "
"Aragonese ","aragonés ","an "
"Armenian ","Հայերեն ","hy "
"Assamese ","অসমীয়া ","as "
"Avaric ","авар мацӀ, магӀарул мацӀ ","av "
"Avestan ","avesta ","ae "
"Aymara ","aymar aru ","ay "
"Azerbaijani ","azərbaycan dili ","az "
"Bambara ","bamanankan ","bm "
"Bashkir ","башҡорт теле ","ba "
"Basque ","euskara, euskera ","eu "
"Belarusian ","беларуская мова ","be "
"Bengali, Bangla ","বাংলা ","bn "
"Bihari ","भोजपुरी ","bh "
"Bislama ","Bislama ","bi "
"Bosnian ","bosanski jezik ","bs "
"Breton ","brezhoneg ","br "
"Bulgarian ","български език ","bg "
"Burmese ","ဗမာစာ","my "
"Catalan ","català ","ca "
"Chamorro ","Chamoru ","ch "
"Chechen ","нохчийн мотт ","ce "
"Chichewa ","chiCheŵa ","ny "
"Chinese ","中文 ","zh "
"Chuvash ","чӑваш чӗлхи ","cv "
"Cornish ","Kernewek ","kw "
"Corsican ","corsu ","co "
"Cree ","ᓀᐦᐃᔭᐍᐏᐣ ","cr "
"Croatian ","hrvatski jezik ","hr "
"Czech ","čeština ","cs "
"Danish ","dansk ","da "
"Divehi ","ދިވެހި ","dv "
"Dutch ","Nederlands ","nl "
"Dzongkha ","རྫོང་ཁ ","dz "
"English ","English ","en "
"Esperanto ","Esperanto ","eo "
"Estonian ","eesti, eesti keel ","et "
"Ewe ","Eʋegbe ","ee "
"Faroese ","føroyskt ","fo "
"Fijian ","vosa Vakaviti ","fj "
"Finnish ","suomi ","fi "
"French ","français ","fr "
"Fula ","Fulfulde ","ff "
"Galician ","galego ","gl "
"Georgian ","ქართული ","ka "
"German ","Deutsch ","de "
"Greek ","ελληνικά ","el "
"Guaraní ","Avañe'ẽ ","gn "
"Gujarati ","ગુજરાતી ","gu "
"Haitian ","Kreyòl ayisyen ","ht "
"Hausa ","Hausa, هَوُسَ ","ha "
"Hebrew ","עברית ","he "
"Herero ","Otjiherero ","hz "
"Hindi ","हिन्दी, हिंदी ","hi "
"Hiri Motu ","Hiri Motu ","ho "
"Hungarian ","magyar ","hu "
"Interlingua ","Interlingua ","ia "
"Indonesian ","Bahasa Indonesia ","id "
"Interlingue ","Occidental ","ie "
"Irish ","Gaeilge ","ga "
"Igbo ","Asụsụ Igbo ","ig "
"Inupiaq ","Iñupiaq, Iñupiatun ","ik "
"Ido ","Ido ","io "
"Icelandic ","Íslenska ","is "
"Italian ","italiano ","it "
"Inuktitut ","ᐃᓄᒃᑎᑐᑦ ","iu "
"Japanese ","日本語 ","ja "
"Javanese ","basa Jawa ","jv "
"Kalaallisut ","kalaallisut ","kl "
"Kannada ","ಕನ್ನಡ ","kn "
"Kanuri ","Kanuri ","kr "
"Kashmiri ","कश्मीरी, كشميري‎ ","ks "
"Kazakh ","қазақ тілі ","kk "
"Khmer ","ខ្មែរ, ខេមរភាសា, ភាសាខ្មែរ ","km "
"Kikuyu ","Gĩkũyũ ","ki "
