20,FTP (Data Transfer)
21,FTP (Command Control)
22,SSH (Secure Shell)
23,Telnet
25,SMTP (Email Sending)
53,DNS (Domain Name System)
80,HTTP (Web Server)
110,POP3 (Email Receiving)
143,IMAP (Email Receiving)
139,NetBIOS Session Service (Samba)
443,HTTPS (Secure Web Server)
445,SMB (Samba File Sharing)
465,SMTP over SSL
587,SMTP (Submission)
993,IMAP over SSL
995,POP3 over SSL
1433,Microsoft SQL Server
1521,Oracle Database
3306,MySQL Server
3389,RDP (Remote Desktop Protocol)
5432,PostgreSQL Server
5900,VNC (Virtual Network Computing)
8080,HTTP Alternative Port (e.g., Web Server or Proxy)
8443,HTTPS Alternative Port
9000,PHP-FPM or development tools like PHP Storm
9001,Development tools like Eclipse Debugging
554,RTSP (Real-Time Streaming Protocol for cameras like Hikvision)
7070,RTSP Alternative Port
37777,Dahua and Hikvision Device Communication
1863,MSN Messenger (used rarely)
9950,Electronic Signature Service
4244,WhatsApp Desktop
5222,Viber or WhatsApp
7500,Viber or PHPStorm  
