"Налягане на пръсване ","number","kPa ",1,"Налягането в момента на деструкция.",,,,,,,,,,,,,,,,,,,,,,,,"Да/Не"
"Непрозрачност ","number","%",0,"Отношението на изходящия към входящия поток светлина от видимия спектър.",,,,,,,,,,,,,,,,,,,,,,,,"Текстов"
"Разтегливост при опън ","number","%",0,"Относителната разтегливост в момента на скъсване.",,,,,,,,,,,,,,,,,,,,,,,,
"Разтегливост при опън на шев ","number","%",0,"Относителната разтегливост в момента на скъсване.",,,,,,,,,,,,,,,,,,,,,,,,
"Сила на дръжка ","number","N",1,"Максималната сила, необходима за скъсване на 2-те дръжки. ",,,,,,,,,,,,,,,,,,,,,,,,
"Сила на натиск ","number","N",1,"Максималната сила в интервала 0 ÷ 10%.",,,,,,,,,,,,,,,,,,,,,,,,
"Сила на скъсване на перфорация ","number","N",1,"Максималната сила, необходима за скъсване.",,,,,,,,,,,,,,,,,,,,,,,,
"Сила на скъсване на шев ","number","N",1,"Максималната сила, необходима за скъсване.",,,,,,,,,,,,,,,,,,,,,,,,
"Сила на шев на дръжка ","number","N",1,"Максималната сила, необходима за скъсване.",,,,,,,,,,,,,,,,,,,,,,,,
"Сила на разлепяне 90º ","number","N",1,"Максималната сила на разлепяне при 90º. ",,,,,,,,,,,,,,,,,,,,,,,,
"Спояване под опън ","bool",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Статична издръжливост ","bool",,,"Издръжливост при еталонно натоварване.",,,,,,,,,,,,,,,,,,,,,,,,
"Статична издръжливост Max ","number","kg",1,"Теглото в момента на деструкция.",,,,,,,,,,,,,,,,,,,,,,,,
"Статична издръжливост, kg ","number","kg",1,"70% от максималната статична издръжливост.",,,,,,,,,,,,,,,,,,,,,,,,
"Страничен фалт ","number","mm",0,"Широчината на страничния фалт.",,,,,,,,,,,,,,,,,,,,,,,,
"Твърди частици ","number","%/m2",2,,,,,,,,,,,,,,,,,,,,,,,,,
"Твърдост на огъване ","number","N",0,,,,,,,,,,,,,,,,,,,,,,,,,
"Тегло ","number","g",4,"Еквивалент на масата.",,,,,,,,,,,,,,,,,,,,,,,,
"Тегло на изрезка ","number","g",4,"Тегло на изрезката на потници и чанти с прорезни дръжки.",,,,,,,,,,,,,,,,,,,,,,,,
"Термосвиваемост ","number","%",0,"Отношението на размера преди към това след термосвиване.",,,,,,,,,,,,,,,,,,,,,,,,
"Широчина ","number","mm",0,"Широчината на изделието.",,,,,,,,,,,,,,,,,,,,,,,,
"Широчина на дъното ","number","mm",0,"Широчината на дъното на изделието.",,,,,,,,,,,,,,,,,,,,,,,,
"Якост на опън ","number","Mpa",1,"Максималната сила при скъсване, разделена на първоначалното напречно сечение на мострата. ",,,,,,,,,,,,,,,,,,,,,,,,
"Максимална сила на спояване ","number","N",1,"Максималната сила на термично залепване на два полимерни филма.",,,,,,,,,,,,,,,,,,,,,,,,
"Максимална сила на опън ","number","N",1,"Максималната сила, необходима за скъсване.",,,,,,,,,,,,,,,,,,,,,,,,
"Коефициент на триене динамичен ","number",,3,"Отношението на силите при движение с постоянна скорост.",,,,,,,,,,,,,,,,,,,,,,,,
"Коефициент на триене статичен ","number",,3,"Отношението на силите при преход покой в движение с постоянна скорост.",,,,,,,,,,,,,,,,,,,,,,,,
"Плътност ","number","kg/m3",0,"Специфично тегло на материала. ",,,,,,,,,,,,,,,,,,,,,,,,
"Височина ","number","mm",0,"Височината на изделието.",,,,,,,,,,,,,,,,,,,,,,,,
"Горен фалт ","number","mm",0,"Размер на горния подгъв на изделието.",,,,,,,,,,,,,,,,,,,,,,,,
"Грамаж ","number","g/m2",4,"Теглото на 1 m2.",,,,,,,,,,,,,,,,,,,,,,,,
"Дебелина ","number","µm",1,"Дебелината на фолио.",,,,,,,,,,,,,,,,,,,,,,,,
"Динамична издръжливост ","bool",,,"Издръжливост при еталонно натоварване.",,,,,,,,,,,,,,,,,,,,,,,,
"Динамична издръжливост, kg ","number","kg",1,"50% от максималната статична издръжливост.",,,,,,,,,,,,,,,,,,,,,,,,
"Дънен фалт ","number","mm",0,"Размер на дънния подгъв на изделието.",,,,,,,,,,,,,,,,,,,,,,,,
"Енергия на пробиване ","number","J",3,"Енергията необходима за пробиване на фолиото.",,,,,,,,,,,,,,,,,,,,,,,,
"Лъскавина ","number","%",0,"Отношението на отразената към емитираната светлина под 45° ъгъл.",,,,,,,,,,,,,,,,,,,,,,,,
