"[ERR_012]", "Има разминаване между държавата и мястото в базата на Speedy", "receiverCountryId,receiverPlace,receiverAddress"
"Delivery to floor not allowed for service","Избраната услуга непозволява качване до етаж","service,floorNum"
"[INVALID_PHONE_NUMBER","Невалиден телефонен номер на получател","receiverPhone"
"[INVALID_BACK_DOCUMENT_REQUEST","Не може да са избрани документи/разписка за връщане, при доставка до Автомат","receiverSpeedyOffice,backRequest"
"[INVALID_BACK_RECEIPT_REQUEST","Не може да са избрани документи/разписка за връщане, при доставка до Автомат","receiverSpeedyOffice,backRequest"
"[INVALID_RECEIVER_MOBILE_PHONE_NUMBER_FOR_APT_TBC","Неразпознат телефонен номер","receiverSpeedyOffice,receiverPhone"
"COMMON_ERROR, [ERR_010] Pickings without COD","Не може пощенския паричен превод да е включен в цената на наложения платеж","codType"
"[COMMON_ERROR, [ERR_011] 'PayerTypeInsurance'  MUST be set","При обявената стойност, трябва да има избран платец на обявената стойност","insurancePayer,amountInsurance"
"[INVALID_PARCELS_INFO, Wrong sequential numbers","Грешна последователност на палетите","parcelInfo"
"[INVALID_OPTIONS_BEFORE_PAYMENT, Option "Open before payment" with delivery to address is not allowed for selected service","Опцията за отваряне преди плащане не е налична за избраната услуга","service,options"
"[INVALID_OPTIONS_BEFORE_PAYMENT, Option "Test before delivery" with delivery to address is not allowed for selected service","Опцията за тестване преди плащане не е налична за избраната услуга","service,options"
"[MISSING_REQUIRED_VALUE_PARCELS, Pallet services require first parcel info to be provided","Палетната услуга, изисква да е въведена информация за палетите","service,parcelInfo"
"[INVALID_OPTIONS_BEFORE_PAYMENT, Options before payment are not allowed for shipments with APT","При доставка до автомат не може да са избрани опции преди получаване/плащане","receiverSpeedyOffice,options"
"[WEIGHT_NOT_IN_RANGE, Invalid weight for service. Allowed values are between 0.0kg and 50.0kg","Разрешеното тегло за услугата е между 0 и 50 кг","totalWeight,service"
"[WEIGHT_NOT_IN_RANGE, Invalid average weight for service. Allowed values are between 0.0kg and 50.0kg","Теглото не е в границите за избраната услуга","totalWeight,service"
"NON_ACTIVE_OFFICE_TBC","Офисът не е активен","receiverSpeedyOffice"
"INVALID_RETURN_SERVICE_REQUEST, Return wrapping service not allowed","Избраната услуга, не позволява връщане на амбалаж","service,wrappingReturnQuantity"
"INVALID_RETURN_SERVICE_REQUEST, Invalid return wrapping number of parcels","Посочения брой амбалаж за връщане, не трябва да е по-голям от общия брой палети","service,wrappingReturnQuantity"
"pallets EUR 80x120 are requested","Въведения брой европалети за връщане, е по-голям от описаните такива","parcelInfo,wrappingReturnQuantity"
"[INVALID_RETURN_SHIPMENT_REQUEST, Return shipment not allowed for selected service","Заявката за обратна пратка не поддържа избраната услуга","returnShipmentWrappingServiceId"
"[COMMON_ERROR, Return shipment: Number of parcels is out of range for selected service. Allowed values are between [1, 10]","Броя пакети за обратна пратка, трябва да е между 1 и 10","returnShipmentParcelCount"
"[COMMON_ERROR, Return shipment: Number of parcels is out of range for selected service. Allowed values are between [1, 6]","Броя пакети за обратна пратка, трябва да е между 1 и 6","returnShipmentParcelCount"
