190,АЙТОС - АВТОГАРА, ул. ХАДЖИ ДИМИТЪР 22 
570,АЙТОС, ул. ХРИСТО БОТЕВ 21 
881,АКСАКОВО, ПАЗАР АКСАКОВО М-Н 3
879,АПРИЛЦИ, ул. ВАСИЛ ЛЕВСКИ 222 
17,АСЕНОВГРАД, ул. ГОЦЕ ДЕЛЧЕВ 91-93 
864,АСЕНОВГРАД - ЗЪБЧЕТО, пл. АВКСЕНТИЙ ВЕЛЕШКИ 7 
732,БАЛЧИК, ул. ХРИСТО БОТЕВ 35 
780,БАНКЯ, ул. АЛЕКСАНДЪР СТАМБОЛИЙСКИ 1 
34,БАНСКО, ул. ЦАР СИМЕОН 80Б 
180,БАНСКО - М-Н ТЕЛЕ МАХ, ул. ЦАР СИМЕОН 41 
181,БАНЯ, ул./бул. ДВАДЕСЕТ И ПЪРВА 3 
108,БЕЛЕНЕ, пл. БЪЛГАРИЯ 1А 
617,БЕЛИЦА, ул. АЛЕКСА САЧКОВ 3 
649,БЕЛОВО, бул. ОСВОБОЖДЕНИЕ 80 
550,БЕЛОГРАДЧИК, ул. КНЯЗ БОРИС I 50 
589,БЕЛОСЛАВ, ул. ГЕБЕДЖЕ 2 
528,БЕРКОВИЦА, ул. АЛЕКСАНДРОВСКА 12 
13,БЛАГОЕВГРАД - СКЛАД, бул. ВАСИЛ ЛЕВСКИ 61 
137,БЛАГОЕВГРАД, ул. ГРИГОР ПЪРЛИЧЕВ 2 
205,БЛАГОЕВГРАД, бул. СВ. СВ. КИРИЛ И МЕТОДИЙ 24 
591,БЛАГОЕВГРАД - ЦЕНТЪР, ул. ТОДОР АЛЕКСАНДРОВ 23 
676,БЛАГОЕВГРАД, жк ЕЛЕНОВО ул. ГЕОРГИ АНДРЕЙЧИН 8 
801,БЛАГОЕВГРАД, жк СТРУМСКО ул. СТРУГА 1 
802,БЛАГОЕВГРАД, жк ЗАПАД ул. СЛАВЯНСКА 83 
61,БОТЕВГРАД, ул. ПАТРИАРХ ЕВТИМИЙ 18 
141,БОТЕВГРАД - СКЛАД, ул. ЦАР ИВАН ШИШМАН 37 
857,БОТЕВГРАД, бул. 3-ТИ МАРТ 85 
3,БУРГАС - СКЛАД, БАЗА СОМАТ
115,БУРГАС, ул. ИВАН БОГОРОВ 20 
145,БУРГАС - ЯНКО КОМИТОВ, жк СЛАВЕЙКОВ бл. 179 
569,БУРГАС, жк МЕДЕН РУДНИК бл. 414 
602,БУРГАС, жк ВЪЗРАЖДАНЕ ул. СЛИВНИЦА 55 
695,БУРГАС, жк ЗОРНИЦА СПОРТНА ЗАЛА БОЙЧО БРЪНЗОВ
705,БУРГАС, жк БРАТЯ МИЛАДИНОВИ бл. 135 
719,БУРГАС, жк ЛАЗУР ул. КАЛОФЕР 13 
740,БУРГАС, кв. ПОБЕДА ул. ЧАТАЛДЖА 52 
789,БУРГАС, жк ВЪЗРАЖДАНЕ ул. ШЕЙНОВО 46 
813,БУРГАС, кв. САРАФОВО ул. БРАЦИГОВО 16А 
814,БУРГАС, жк ИЗГРЕВ ул. ТРАНСПОРТНА 15 
829,БУРГАС, жк СЛАВЕЙКОВ бл. 113 
858,БУРГАС - ЦЕНТЪР, УЛ. ЛЕРМОНТОВ NO 36
860,БУРГАС, жк МЕДЕН РУДНИК бл. 383 
9020,БУРГАС - МЕТРО (АВТОМАТ), бул. СТЕФАН СТАМБОЛОВ 103 
9021,БУРГАС - МОЛ ГАЛЕРИЯ (АВТОМАТ), бул. ЯНКО КОМИТОВ 6 
764,БУТАН, ул. ГЕОРГИ ДИМИТРОВ 45А 
525,БЯЛА (РУСЕ), ул. ВАСИЛ ЛЕВСКИ 19 
59,БЯЛА СЛАТИНА, ул. ХАН КРУМ 48 
4,ВАРНА - СКЛАД, ЗАПАДНА ПРОМИШЛЕНА ЗОНА 2 
